# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches ouc.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
My School DC Application Opens | OUC,/event/my-school-dc-application-opens,9,8,1.125,3.125,40,0,0
OUC Brochure - Español | OUC,/publication/ouc-brochure-español,9,8,1.125,0.375,37,0,0
OUC Is Honored by NG911 Institute | OUC,/release/ouc-honored-ng911-institute,9,9,1,3,40,0,0
OUC Statement on DC 911 Operations Staffing - September 8 | OUC,/node/1679551,9,7,1.2857142857142858,2.7142857142857144,40,0,0
Page not found | OUC,/sites/default/files/dc/sites/,9,7,1.2857142857142858,0,21,0,0
Page not found | OUC,/sites/default/files/dc/sites/OUC/publication/,9,7,1.2857142857142858,0.2857142857142857,20,0,0
Passing of OUC Chief Administrative Officer Yvonne McManus | OUC,/release/passing-ouc-chief-administrative-officer-yvonne-mcmanus,9,8,1.125,42.5,32,0,0
Submit a FOIA request online | OUC,/external-link/submit-foia-request-online,9,8,1.125,0.125,28,0,0
Supporting our Heroes in Headsets: OUC's Executive Team | OUC,/es/node/1456446,9,9,1,3.2222222222222223,42,0,0
The District of Columbia Office of Unified Communications Receives National Honor for 9-1-1 Program | OUC,/release/district-columbia-office-unified-communications-receives-national-honor-9-1-1-program,9,8,1.125,1.375,36,0,0
Veteran Public Affairs/Media Pro to Conduct OUC Outreach | OUC,/release/veteran-public-affairsmedia-pro-conduct-ouc-outreach,9,9,1,1.3333333333333333,37,0,0
We are sorry; the page you requested is no longer available. | OUC,/node/240522,9,9,1,2.6666666666666665,41,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/freedom-information-act-foia,9,9,1,2.111111111111111,33,0,0
| Page 11 | OUC,/node,9,9,1,4.888888888888889,39,0,0
| Page 5 | OUC,/node,9,9,1,2,34,0,0
911 Performance Dashboard BETA | OUC,/node/1679601,8,8,1,18,31,0,0
911 for Emergency Services | OUC,/es/page/911-for-emergency-services,8,8,1,4.125,34,0,0
District Unveils Unified Communications Center | OUC,/release/district-unveils-unified-communications-center,8,9,0.8888888888888888,5,37,0,0
FCC Chairperson Genachowski Visits the Office of Unified Communications | OUC,/release/fcc-chairperson-genachowski-visits-office-unified-communications,8,8,1,2.375,36,0,0
OUC Celebrates National 911 Education Month 2009 | OUC,/release/ouc-celebrates-national-911-education-month-2009,8,7,1.1428571428571428,2,31,0,0
OUC Celebrates National Customer Service Week (Oct. 2-6) | OUC,/release/ouc-celebrates-national-customer-service-week-oct-2-6,8,8,1,2.875,38,0,0
Online Services | OUC,/online-services,8,6,1.3333333333333333,11.166666666666666,22,0,0
Page not found | OUC,/sites/default/files/dc/sites/OUC/page_content/attachments/60_OUC_Approved_Vendors_24.pdf,8,7,1.1428571428571428,8.428571428571429,19,0,0
Professional Development Day (No School for Students) | OUC,/event/professional-development-day-no-school-students-3,8,8,1,1.375,37,0,0
Testimony of Director Heather McGaffin - FY23 Agency Performance Oversight Hearing | OUC,/release/testimony-director-heather-mcgaffin-fy23-agency-performance-oversight-hearing,8,7,1.1428571428571428,2.7142857142857144,30,0,0
"Testimony of Director Heather McGaffin - Public Hearing on B25-0953, the ""Transparency in Emergency Response Amendment Act of 2024"" | OUC",/release/testimony-director-heather-mcgaffin-public-hearing-b25-0953-transparency-emergency-response,8,8,1,0.875,29,0,0
Testimony of Director Heather McGaffin - Public Roundtable on Recent Operational Failures and Incidents at the Office of Unified Communications | OUC,/release/testimony-director-heather-mcgaffin-public-roundtable-recent-operational-failures-and,8,8,1,1.25,33,0,0
Thanksgiving Break (No School for Students) | OUC,/event/thanksgiving-break-no-school-students,8,8,1,1.875,34,0,0
