# Hostname exactly matches dpr.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
Benning Stoddert Recreation Center Temporarily Closed | dpr,/release/benning-stoddert-recreation-center-temporarily-closed,1
"Benning Stoddert Recreation Center will be Closed on Monday, September 10th | dpr",/release/benning-stoddert-recreation-center-will-be-closed-monday-september-10th,5
Black History Invitational Swim Meet | dpr,/node/540292,17
Black History Invitational Swim Meet | dpr,/service/30th-annual-black-history-invitational-swim-meet,3
Black History Invitational Swim Meet | dpr,/service/black-history-invitational-swim-meet,160
Black History Journey Through Music - Kennedy Recreation Center | dpr,/event/black-history-journey-through-music-kennedy-recreation-center,3
Blacks in Wax | dpr,/page/blacks-wax,55
Boo House - Therapeutic Recreation Center | dpr,/fr/event/boo-house-therapeutic-recreation-center,1
Boo to You Halloween Party - King Greenleaf Recreation Center | dpr,/event/boo-you-halloween-party-king-greenleaf-recreation-center,4
Books | dpr,/book/2014-summer-camp-listings/verano-spanish-camp,3
Books | dpr,/book/2015-summer-camp-listings,2
Books | dpr,/book/2017-summer-camp-listings,3
Books | dpr,/book/dpr-summer-camp-locations/dpr-therapeutic-recreation-camps,5
Boot Camp Picnic | dpr,/event/boot-camp-picnic,2
Bowser Administration Announces Updates to the District’s Heat Plan | dpr,/release/bowser-administration-announces-updates-districts-heat-plan,8
Bowser Administration Celebrates 35th Black History Invitational Swim Meet with Virtual Broadcast | dpr,/release/bowser-administration-celebrates-35th-black-history-invitational-swim-meet-virtual-broadcast,7
Bowser Administration Celebrates 36th Annual Black History Invitational Swim Meet | dpr,/release/bowser-administration-celebrates-36th-annual-black-history-invitational-swim-meet,7
Bowser Administration Cuts Ribbon on “I Have a Dream” Basketball Court at Oxon Run Park | dpr,/release/bowser-administration-cuts-ribbon-“i-have-dream”-basketball-court-oxon-run-park,15
Bowser Administration Highlights #BackToSummer with Robust Event & Program Offerings in All Eight Wards  | dpr,/es/node/1547061,1
Bowser Administration Highlights #BackToSummer with Robust Event & Program Offerings in All Eight Wards  | dpr,/release/bowser-administration-highlights-backtosummer -robust-event-program-offerings-all-eight,4
Bowser Administration Highlights Thanksgiving Events in the District | dpr,/release/bowser-administration-highlights-thanksgiving-events-district,9
Bowser Administration Highlights Thanksgiving Events in the District | dpr,/release/bowser-administration-highlights-thanksgiving-events-district-0,9
Bowser Administration Hosts Halloween Events Across the District for All Ages | dpr,/release/bowser-administration-hosts-halloween-events-across-district-all-ages,6
Bowser Administration Kicks Off Registration for 2019 Fall Programs | dpr,/release/bowser-administration-kicks-registration-2019-fall-programs,2
Bowser Administration Kicks Off Summer Meals & Summer Camp Programs | dpr,/release/bowser-administration-kicks-summer-meals-summer-camp-programs,2
Bowser Administration Offering Free Afterschool Meals at DPR Facilities | dpr,/release/bowser-administration-offering-free-afterschool-meals-dpr-facilities,8
Bowser Administration Offering Mid-Winter Break Camp for DC Families | dpr,/release/bowser-administration-offering-mid-winter-break-camp-dc-families,4
Bowser Administration Opens Registration for Spring Programs | dpr,/release/bowser-administration-opens-registration-spring-programs,1
Bowser Administration Opens Select Aquatic Centers for Reservations October 1 | dpr,/release/bowser-administration-opens-select-aquatic-centers-reservations-october-1,1
Bowser Administration Releases Citywide Survey to Shape Future of Parks and Recreation | dpr,/release/bowser-administration-releases-citywide-survey-shape-future-parks-and-recreation,1
Bowser Administration to Celebrate Chuck Brown Day with Virtual Festival | dpr,/release/bowser-administration-celebrate-chuck-brown-day-virtual-festival,3
