# Hostname exactly matches dhcf.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
BRIEFING ON THE PROPOSED DHCF ICF RATE METHODOLOGY | dhcf,/node/167362,1
Briefing on the Proposed DHCF ICF Rate Methodology | dhcf,/release/briefing-proposed-dhcf-icf-rate-methodology,1
Business Transformation Grant | dhcf,/publication/business-transformation-grant,13
"Cancelled: MCAC Meeting Scheduled for December 19, 2018 | dhcf",/release/cancelled-mcac-meeting-scheduled-december-19-2018,5
Care Delivery April 25 2016 Presentation | dhcf,/node/1158256,5
Care Delivery April 25 2016 Presentation | dhcf,/publication/care-delivery-april-25-2016-presentation,5
Care Delivery April 25 Meeting Agenda | dhcf,/node/1157102,5
Care Delivery December 9 Meeting Agenda | dhcf,/node/1127802,1
Care Delivery December 9 Meeting Agenda | dhcf,/publication/care-delivery-december-9-meeting-agenda,5
Care Delivery December 9 Presentation | dhcf,/node/1130926,6
Care Delivery December 9th Meeting Summary | dhcf,/node/1132103,7
Care Delivery December 9th Meeting Summary | dhcf,/publication/care-delivery-december-9th-meeting-summary,1
Care Delivery February 3 2016 Presentation | dhcf,/node/1140126,5
Care Delivery February 3 2016 Presentation | dhcf,/publication/care-delivery-february-3-2016-presentation,1
Care Delivery February 3 Meeting Agenda | dhcf,/node/1140152,1
Care Delivery February 3 Meeting Agenda | dhcf,/publication/care-delivery-february-3-meeting-agenda,5
Care Delivery January 12 Presentation | dhcf,/node/1135051,1
Care Delivery January 12 Presentation | dhcf,/publication/care-delivery-january-12-presentation,1
Care Delivery March 2 Meeting Agenda | dhcf,/node/1143462,7
Care Delivery March 2 Meeting Agenda | dhcf,/publication/care-delivery-march-2-meeting-agenda,1
Care Delivery Meeting Summary 10 15 15 | dhcf,/node/1121872,3
Care Delivery Meeting Summary 10 15 15 | dhcf,/publication/care-delivery-meeting-summary-10-15-15,2
Care Delivery Meeting Summary April 25 2016 | dhcf,/node/1160317,3
Care Delivery Meeting Summary February 3 2016 | dhcf,/node/1140112,5
Care Delivery Meeting Summary March 2 2016 | dhcf,/node/1157097,1
Care Delivery Nov 12 Meeting Agenda | dhcf,/node/1122577,1
Care Delivery Nov 12 Meeting Agenda | dhcf,/publication/care-delivery-nov-12-meeting-agenda,6
Care Delivery November 12 Meeting Summary | dhcf,/node/1127016,1
Care Delivery November 12 Meeting Summary | dhcf,/publication/care-delivery-november-12-meeting-summary,6
Care Delivery November 23 Meeting Agenda | dhcf,/node/1127031,5
Care Delivery November 23 Meeting Agenda | dhcf,/publication/care-delivery-november-23-meeting-agenda,1
